# Never change matches order or column names
# All times are in CEST (UTC+2) time zone
team1,team2,time,is_playoff
FRA,ROU,10 June 2016 21:00,0
ALB,SUI,11 June 2016 15:00,0
WAL,SVK,11 June 2016 18:00,0
ENG,RUS,11 June 2016 21:00,0
TUR,CRO,12 June 2016 15:00,0
POL,NIR,12 June 2016 18:00,0
GER,UKR,12 June 2016 21:00,0
ESP,CZE,13 June 2016 15:00,0
IRL,SWE,13 June 2016 18:00,0
BEL,ITA,13 June 2016 21:00,0
AUT,HUN,14 June 2016 18:00,0
POR,ISL,14 June 2016 21:00,0
RUS,SVK,15 June 2016 15:00,0
ROU,SUI,15 June 2016 18:00,0
FRA,ALB,15 June 2016 21:00,0
ENG,WAL,16 June 2016 15:00,0
UKR,NIR,16 June 2016 18:00,0
GER,POL,16 June 2016 21:00,0
ITA,SWE,17 June 2016 15:00,0
CZE,CRO,17 June 2016 18:00,0
ESP,TUR,17 June 2016 21:00,0
BEL,IRL,18 June 2016 15:00,0
ISL,HUN,18 June 2016 18:00,0
POR,AUT,18 June 2016 21:00,0
ROU,ALB,19 June 2016 21:00,0
SUI,FRA,19 June 2016 21:00,0
RUS,WAL,20 June 2016 21:00,0
SVK,ENG,20 June 2016 21:00,0
CZE,TUR,21 June 2016 21:00,0
UKR,POL,21 June 2016 18:00,0
NIR,GER,21 June 2016 18:00,0
CRO,ESP,21 June 2016 21:00,0
ISL,AUT,22 June 2016 18:00,0
HUN,POR,22 June 2016 18:00,0
ITA,IRL,22 June 2016 21:00,0
SWE,BEL,22 June 2016 21:00,0
SUI,POL,25 June 2016 15:00,1
WAL,TBD,25 June 2016 18:00,1
CRO,TBD,25 June 2016 21:00,1
FRA,TBD,26 June 2016 15:00,1
GER,TBD,26 June 2016 18:00,1
TBD,TBD,26 June 2016 21:00,1
ITA,ESP,27 June 2016 18:00,1
ENG,TBD,27 June 2016 21:00,1
